np,grid_1,grid_2,grid_4,grid_8,grid_16,grid_32
N1,1.0,1.0,1.0,1.0,1.0,1.0
N2,1.9781637200646458,1.987689628488926,2.0043560722876705,1.9754056843412127,1.9528800434340723,1.8965602032731346
N4,3.861949039105077,3.917944052763248,4.001449906648792,3.997102566078446,3.9665586806628745,3.9499260270854673
N8,7.386241814005051,7.752782694788635,7.9131472333068515,7.978895392211907,8.003695719125348,7.95744778412087
N16,8.953197125108751,14.621328372194084,15.364562094052706,15.651334290852473,15.882173195624276,15.974348746586482
N32,10.015093754842708,13.464093562132472,20.25989915756825,27.106045641483895,27.171878757462647,28.170896512727417
